orig_tsnr,art_tsnr
202.950379,204.751736
210.742285,224.262691
198.422454,201.021852
179.318256,186.444849
215.385012,215.951719
178.965533,179.726514
164.822375,169.623603
145.39067,168.995448
159.209818,159.352955
208.594095,209.048054
135.370852,176.914757
119.876972,144.939733
138.829686,140.457594
128.425433,144.224505
67.612069,131.170587
118.817712,119.105596
153.552985,153.751096
156.752158,158.397769
133.18017,141.590677
162.174003,160.642466
123.863911,131.153728
163.020521,170.125026
134.88826,135.692793
145.530633,145.581437
133.133095,136.998154
143.285863,148.217127
166.450247,172.635367
159.378435,162.407659
145.280398,175.734872
122.558121,122.73589
200.028212,211.802415
195.759647,196.439143
183.966306,191.536667
119.942899,168.110596
134.120119,144.388134
169.311428,169.77586
132.50424,147.462064
94.728134,172.026966
124.042674,163.692588
163.438638,163.624953
207.220506,207.581507
142.279573,158.718263
115.229646,125.186282
107.91159,181.63642
70.858578,135.320988
175.267479,175.431383
166.004965,170.02723
185.25542,185.536508
188.427501,199.809707
153.833954,157.93156
205.216477,205.831566
158.313,163.513436
152.780266,161.82531
178.477206,178.711742
149.094419,149.310651
151.198504,151.231556
174.328256,181.482286
221.417545,222.460309
191.516511,191.965768
148.307367,160.693447
186.802219,186.994968
215.197787,217.020735
124.33445,235.381092
169.25022,169.857556
198.953184,214.993608
169.076541,169.237382
158.897716,160.001913
157.795767,166.20471
172.600315,173.694053
135.037271,172.501544
138.194833,151.840361
191.574552,195.608261
76.339656,110.794001
135.421208,138.66033
192.729055,195.460568
164.358775,164.467919
161.985342,176.934455
147.886192,156.313802
161.254909,161.412571
184.682083,185.215835
142.412717,161.274602
129.80889,144.560333
126.007145,137.024429
120.987842,135.9442
183.788574,192.909252
195.834686,200.158207
172.190062,176.487488
227.554262,228.10262
185.624507,187.484396
168.448137,168.658239
134.459613,154.42296
145.839064,149.121564
100.200689,137.057994
184.502164,187.499676
197.783354,199.017754
184.48169,184.687917
216.240507,216.848883
134.651491,157.82476
216.989584,222.590961
207.788575,208.36046
149.39482,157.520261
121.893015,136.714314
146.201876,148.266694
144.620481,171.222578
79.962884,110.158615
163.170834,170.891406
205.212185,205.517991
198.652744,199.244278
97.245233,144.926128
145.305907,148.40611
175.192279,175.737045
141.068478,150.994991
169.882852,171.219504
141.411649,142.703054
168.822446,169.118668
153.739739,154.055928
173.161506,173.162389
140.181809,152.314608
133.970838,133.573683
148.549633,154.777445
153.396871,153.558612
116.600208,139.332612
173.09528,174.220135
88.8714,117.014929
161.100284,162.707147
124.834397,128.795372
69.519264,125.907861
136.950346,148.722869
230.367258,230.880058
97.201846,156.354863
150.339962,156.121692
201.339381,201.488699
143.066907,156.886702
144.254982,144.291569
165.888317,179.14085
105.662132,114.17622
153.804361,154.477132
143.789941,164.050923
191.225452,192.011447
172.09972,172.631682
117.010304,126.10575
50.73063,154.959284
36.353478,123.229157
120.152745,152.396316
145.098731,145.744712
134.799686,136.084332
203.599115,204.069347
180.011016,180.380242
186.85083,187.433849
91.475999,119.428253
193.789776,194.902927
171.447768,171.671016
189.673035,189.813572
190.758061,190.919357
175.310743,177.163233
181.124534,189.539844
138.556998,159.64504
159.302953,161.254583
198.298354,202.316319
187.959282,199.47222
169.289333,169.558693
94.732252,158.153369
161.211214,180.303657
116.103398,152.592605
162.75622,162.856733
158.0897,158.259286
112.868023,188.399344
129.72252,154.290143
187.680673,187.83425
58.023979,121.851161
71.251108,82.371854
141.733325,162.359826
145.266287,158.949002
168.354401,168.53273
184.993377,185.637146
139.669536,146.206925
117.420355,125.894205
114.520671,195.574639
57.250295,181.068631
86.657174,112.433993
115.576608,140.903492
40.676068,175.461144
133.716363,133.761248
168.302933,168.545439
123.786569,142.885997
218.342853,218.571653
208.591165,211.019745
156.084278,169.05414
154.803433,162.754716
222.843095,223.282462
86.75791,157.863007
174.031179,174.435291
136.706979,147.229639
165.756461,168.900731
208.529923,211.902608
91.971207,125.574476
